company_id,code,name,type,nature,parent_code,is_active,is_system,description,id,created_date,updated_date,created_by_id,is_sample
"691f786bcf15b38eaf75a544","1.2.01","Imobilizado","ativo","devedora","1.2","true","true","","692f92738c846beed850bb10","2025-12-03T01:29:23.159000","2025-12-03T01:29:23.159000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","1.2.02","(-) Depreciação Acumulada","ativo","credora","1.2","true","true","","692f92738c846beed850bb11","2025-12-03T01:29:23.159000","2025-12-03T01:29:23.159000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","2.1.01","Fornecedores","passivo","credora","2.1","true","true","","692f92738c846beed850bb12","2025-12-03T01:29:23.159000","2025-12-03T01:29:23.159000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","2.1.02","Salários a Pagar","passivo","credora","2.1","true","true","","692f92738c846beed850bb13","2025-12-03T01:29:23.159000","2025-12-03T01:29:23.159000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","2.1.03","Impostos a Pagar","passivo","credora","2.1","true","true","","692f92738c846beed850bb14","2025-12-03T01:29:23.159000","2025-12-03T01:29:23.159000","691f77ab8d822917920b4ee5","false"
"692b9225a365c642692f4d14","1","ATIVO","ativo","devedora","","true","false","","692b922bebd4801701629ba2","2025-11-30T00:39:07.823000","2025-11-30T00:39:07.823000","691f77ab8d822917920b4ee5","false"
"692b9225a365c642692f4d14","1.1","Ativo Circulante","ativo","devedora","1","true","false","","692b922bebd4801701629ba3","2025-11-30T00:39:07.823000","2025-11-30T00:39:07.823000","691f77ab8d822917920b4ee5","false"
"692b9225a365c642692f4d14","1.1.1","Caixa","ativo","devedora","1.1","true","true","","692b922bebd4801701629ba4","2025-11-30T00:39:07.823000","2025-11-30T00:39:07.823000","691f77ab8d822917920b4ee5","false"
"692b9225a365c642692f4d14","1.1.2","Bancos","ativo","devedora","1.1","true","true","","692b922bebd4801701629ba5","2025-11-30T00:39:07.823000","2025-11-30T00:39:07.823000","691f77ab8d822917920b4ee5","false"
"692b9225a365c642692f4d14","1.1.3","Contas a Receber","ativo","devedora","1.1","true","true","","692b922bebd4801701629ba6","2025-11-30T00:39:07.823000","2025-11-30T00:39:07.823000","691f77ab8d822917920b4ee5","false"
"692b9225a365c642692f4d14","2","PASSIVO","passivo","credora","","true","false","","692b922bebd4801701629ba7","2025-11-30T00:39:07.823000","2025-11-30T00:39:07.823000","691f77ab8d822917920b4ee5","false"
"692b9225a365c642692f4d14","2.1","Passivo Circulante","passivo","credora","2","true","false","","692b922bebd4801701629ba8","2025-11-30T00:39:07.823000","2025-11-30T00:39:07.823000","691f77ab8d822917920b4ee5","false"
"692b9225a365c642692f4d14","2.1.1","Fornecedores","passivo","credora","2.1","true","true","","692b922bebd4801701629ba9","2025-11-30T00:39:07.823000","2025-11-30T00:39:07.823000","691f77ab8d822917920b4ee5","false"
"692b9225a365c642692f4d14","2.1.2","Contas a Pagar","passivo","credora","2.1","true","true","","692b922bebd4801701629baa","2025-11-30T00:39:07.823000","2025-11-30T00:39:07.823000","691f77ab8d822917920b4ee5","false"
"692b9225a365c642692f4d14","3","PATRIMÔNIO LÍQUIDO","patrimonio_liquido","credora","","true","false","","692b922bebd4801701629bab","2025-11-30T00:39:07.823000","2025-11-30T00:39:07.823000","691f77ab8d822917920b4ee5","false"
"692b9225a365c642692f4d14","3.1","Capital Social","patrimonio_liquido","credora","3","true","true","","692b922bebd4801701629bac","2025-11-30T00:39:07.823000","2025-11-30T00:39:07.823000","691f77ab8d822917920b4ee5","false"
