company_id,name,type,color,icon,chart_account_id,is_active,is_system,id,created_date,updated_date,created_by_id,is_sample
"691f786bcf15b38eaf75a544","Água e Luz","despesa","#7C3AED","","","true","false","692f92721ca83b62234be247","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Telefone e Internet","despesa","#6D28D9","","","true","false","692f92721ca83b62234be248","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Material de Escritório","despesa","#5B21B6","","","true","false","692f92721ca83b62234be249","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Serviços de Terceiros","despesa","#4C1D95","","","true","false","692f92721ca83b62234be24a","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Manutenção e Reparos","despesa","#7E22CE","","","true","false","692f92721ca83b62234be24b","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Seguros","despesa","#9333EA","","","true","false","692f92721ca83b62234be24c","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Honorários Contábeis","despesa","#A855F7","","","true","false","692f92721ca83b62234be24d","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Honorários Advocatícios","despesa","#C084FC","","","true","false","692f92721ca83b62234be24e","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Comissões sobre Vendas","despesa","#EC4899","","","true","false","692f92721ca83b62234be24f","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Marketing e Publicidade","despesa","#DB2777","","","true","false","692f92721ca83b62234be250","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Fretes e Entregas","despesa","#BE185D","","","true","false","692f92721ca83b62234be251","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Embalagens","despesa","#9D174D","","","true","false","692f92721ca83b62234be252","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Viagens e Representação","despesa","#831843","","","true","false","692f92721ca83b62234be253","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Salários e Ordenados","despesa","#F97316","","","true","false","692f92721ca83b62234be254","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Férias e 13º Salário","despesa","#EA580C","","","true","false","692f92721ca83b62234be255","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","INSS Patronal","despesa","#C2410C","","","true","false","692f92721ca83b62234be256","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","FGTS","despesa","#9A3412","","","true","false","692f92721ca83b62234be257","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"692b9225a365c642692f4d14","Vendas de Produtos","receita","#10b981","ShoppingCart","","true","true","692b922d40176649bc82e9c6","2025-11-30T00:39:09.736000","2025-11-30T00:39:09.736000","691f77ab8d822917920b4ee5","false"
"692b9225a365c642692f4d14","Prestação de Serviços","receita","#3b82f6","Briefcase","","true","true","692b922d40176649bc82e9c7","2025-11-30T00:39:09.736000","2025-11-30T00:39:09.736000","691f77ab8d822917920b4ee5","false"
